team_id,team_name,conference,player_id,player_name,player_team_id,game_id,game_date,game_home_team_id,game_away_team_id,game_attendance,field_goals,three_points,free_throws,offensive_rebounds,defensive_rebounds,assists
0,Philadelphia 76ers,Conference 1,1,Allen Iverson,0,1,2001-06-06,0,1,18997,18,3,9,2,3,6
0,Philadelphia 76ers,Conference 1,2,Aaron McKie,0,1,2001-06-06,0,1,18997,3,1,2,2,5,9
0,Philadelphia 76ers,Conference 1,3,Dikembe Mutombo,0,1,2001-06-06,0,1,18997,4,0,5,5,11,0
0,Philadelphia 76ers,Conference 1,4,Tyrone Hill,0,1,2001-06-06,0,1,18997,1,0,2,1,5,0
0,Philadelphia 76ers,Conference 1,5,Jumaine Jones,0,1,2001-06-06,0,1,18997,2,0,0,0,0,0
1,Los Angeles Lakers,Conference 2,6,Kobe Bryant,1,1,2001-06-06,0,1,18997,7,0,1,0,3,5
1,Los Angeles Lakers,Conference 2,7,Shaquille O'Neal,1,1,2001-06-06,0,1,18997,17,0,10,6,14,5
1,Los Angeles Lakers,Conference 2,8,Rick Fox,1,1,2001-06-06,0,1,18997,7,3,2,1,6,5
1,Los Angeles Lakers,Conference 2,9,Horace Grant,1,1,2001-06-06,0,1,18997,3,0,2,4,1,0
1,Los Angeles Lakers,Conference 2,10,Derek Fisher,1,1,2001-06-06,0,1,18997,0,0,0,0,0,1
0,Philadelphia 76ers,Conference 1,1,Allen Iverson,0,2,2001-06-08,0,1,18997,10,3,0,0,4,3
0,Philadelphia 76ers,Conference 1,2,Aaron McKie,0,2,2001-06-08,0,1,18997,6,2,0,4,2,6
0,Philadelphia 76ers,Conference 1,3,Dikembe Mutombo,0,2,2001-06-08,0,1,18997,5,0,6,4,9,1
0,Philadelphia 76ers,Conference 1,4,Tyrone Hill,0,2,2001-06-08,0,1,18997,1,0,0,1,4,0
0,Philadelphia 76ers,Conference 1,5,Jumaine Jones,0,2,2001-06-08,0,1,18997,1,1,0,0,3,0
1,Los Angeles Lakers,Conference 2,6,Kobe Bryant,1,2,2001-06-08,0,1,18997,11,1,8,1,7,6
1,Los Angeles Lakers,Conference 2,7,Shaquille O'Neal,1,2,2001-06-08,0,1,18997,12,0,4,8,12,9
1,Los Angeles Lakers,Conference 2,8,Rick Fox,1,2,2001-06-08,0,1,18997,5,2,2,0,0,3
1,Los Angeles Lakers,Conference 2,9,Horace Grant,1,2,2001-06-08,0,1,18997,0,0,0,1,5,2
1,Los Angeles Lakers,Conference 2,10,Derek Fisher,1,2,2001-06-08,0,1,18997,2,0,2,2,3,2
0,Philadelphia 76ers,Conference 1,1,Allen Iverson,0,3,2001-06-10,0,1,20900,12,3,10,2,10,4
0,Philadelphia 76ers,Conference 1,2,Aaron McKie,0,3,2001-06-10,0,1,20900,9,0,5,5,7,0
0,Philadelphia 76ers,Conference 1,3,Dikembe Mutombo,0,3,2001-06-10,0,1,20900,2,0,1,1,5,8
0,Philadelphia 76ers,Conference 1,4,Tyrone Hill,0,3,2001-06-10,0,1,20900,1,0,0,0,2,0
0,Philadelphia 76ers,Conference 1,5,Jumaine Jones,0,3,2001-06-10,0,1,20900,1,1,0,0,1,0
1,Los Angeles Lakers,Conference 2,6,Kobe Bryant,1,3,2001-06-10,0,1,20900,13,0,6,0,6,3
1,Los Angeles Lakers,Conference 2,7,Shaquille O'Neal,1,3,2001-06-10,0,1,20900,11,0,8,3,9,3
1,Los Angeles Lakers,Conference 2,8,Rick Fox,1,3,2001-06-10,0,1,20900,2,0,3,1,1,2
1,Los Angeles Lakers,Conference 2,9,Horace Grant,1,3,2001-06-10,0,1,20900,2,0,0,3,4,1
1,Los Angeles Lakers,Conference 2,10,Derek Fisher,1,3,2001-06-10,0,1,20900,1,0,1,0,0,2
0,Philadelphia 76ers,Conference 1,1,Allen Iverson,0,4,2001-06-13,0,1,20896,12,1,10,1,3,4
0,Philadelphia 76ers,Conference 1,2,Aaron McKie,0,4,2001-06-13,0,1,20896,9,0,1,3,6,0
0,Philadelphia 76ers,Conference 1,3,Dikembe Mutombo,0,4,2001-06-13,0,1,20896,1,0,3,0,3,2
0,Philadelphia 76ers,Conference 1,4,Tyrone Hill,0,4,2001-06-13,0,1,20896,3,0,1,2,5,1
0,Philadelphia 76ers,Conference 1,5,Jumaine Jones,0,4,2001-06-13,0,1,20896,0,0,0,1,2,1
1,Los Angeles Lakers,Conference 2,6,Kobe Bryant,1,4,2001-06-13,0,1,20896,6,0,7,2,8,9
1,Los Angeles Lakers,Conference 2,7,Shaquille O'Neal,1,4,2001-06-13,0,1,20896,1,0,8,8,6,5
1,Los Angeles Lakers,Conference 2,8,Rick Fox,1,4,2001-06-13,0,1,20896,4,2,0,0,1,1
1,Los Angeles Lakers,Conference 2,9,Horace Grant,1,4,2001-06-13,0,1,20896,2,1,2,0,1,4
1,Los Angeles Lakers,Conference 2,10,Derek Fisher,1,4,2001-06-13,0,1,20896,1,0,0,0,5,0
